data_source_code,external_ref,measure_unit_label,amount,gram_weight,description,modifier,basis
usda_fdc_sr_legacy,170457,"medium whole (2-3/5"" dia)",1.0,123.0,,"medium whole (2-3/5"" dia)",usda
usda_fdc_sr_legacy,170457,"slice, medium (1/4"" thick)",1.0,20.0,,"slice, medium (1/4"" thick)",usda
usda_fdc_sr_legacy,170457,plum tomato,1.0,62.0,,plum tomato,usda
usda_fdc_sr_legacy,170457,"small whole (2-2/5"" dia)",1.0,91.0,,"small whole (2-2/5"" dia)",usda
usda_fdc_sr_legacy,170457,"slice, thick/large (1/2"" thick)",1.0,27.0,,"slice, thick/large (1/2"" thick)",usda
usda_fdc_sr_legacy,170457,wedge (1/4 of medium tomato),1.0,31.0,,wedge (1/4 of medium tomato),usda
usda_fdc_sr_legacy,170457,"slice, thin/small",1.0,15.0,,"slice, thin/small",usda
usda_fdc_sr_legacy,170457,NLEA serving,1.0,148.0,,NLEA serving,usda
usda_fdc_sr_legacy,170688,cup,1.0,140.0,,cup,usda
usda_fdc_sr_legacy,171284,container (6 oz),1.0,170.0,,container (6 oz),usda
usda_fdc_sr_legacy,171284,container (8 oz),1.0,227.0,,container (8 oz),usda
usda_fdc_sr_legacy,171284,container (4 oz),0.5,113.0,,container (4 oz),usda
usda_fdc_sr_legacy,171284,cup (8 fl oz),1.0,245.0,,cup (8 fl oz),usda
usda_fdc_sr_legacy,171287,large,1.0,50.0,,large,usda
usda_fdc_sr_legacy,171287,extra large,1.0,56.0,,extra large,usda
usda_fdc_sr_legacy,171287,jumbo,1.0,63.0,,jumbo,usda
usda_fdc_sr_legacy,171287,cup (4.86 large eggs),1.0,243.0,,cup (4.86 large eggs),usda
usda_fdc_sr_legacy,171287,medium,1.0,44.0,,medium,usda
usda_fdc_sr_legacy,171287,small,1.0,38.0,,small,usda
usda_fdc_sr_legacy,171413,tablespoon,1.0,13.5,,tablespoon,usda
usda_fdc_sr_legacy,171413,cup,1.0,216.0,,cup,usda
usda_fdc_sr_legacy,171413,tsp,1.0,4.5,,tsp,usda
usda_fdc_sr_legacy,171688,"cup, quartered or chopped",1.0,125.0,,"cup, quartered or chopped",usda
usda_fdc_sr_legacy,171688,cup slices,1.0,109.0,,cup slices,usda
usda_fdc_sr_legacy,171688,"large (3-1/4"" dia)",1.0,223.0,,"large (3-1/4"" dia)",usda
usda_fdc_sr_legacy,171688,"medium (3"" dia)",1.0,182.0,,"medium (3"" dia)",usda
usda_fdc_sr_legacy,171688,"small (2-3/4"" dia)",1.0,149.0,,"small (2-3/4"" dia)",usda
usda_fdc_sr_legacy,171688,"extra small (2-1/2"" dia)",1.0,101.0,,"extra small (2-1/2"" dia)",usda
usda_fdc_sr_legacy,171688,NLEA serving,1.0,242.0,,NLEA serving,usda
usda_fdc_sr_legacy,172420,cup,1.0,192.0,,cup,usda
usda_fdc_sr_legacy,172420,tablespoon,1.0,12.0,,tablespoon,usda
usda_fdc_sr_legacy,172421,cup,1.0,198.0,,cup,usda
usda_fdc_sr_legacy,172421,tbsp,1.0,12.3,,tbsp,usda
usda_fdc_sr_legacy,172544,oz,3.0,85.0,,oz,usda
usda_fdc_sr_legacy,172544,"unit, cooked (yield from 1 lb raw meat)",1.0,313.0,,"unit, cooked (yield from 1 lb raw meat)",usda
usda_fdc_sr_legacy,172816,oz,1.0,28.35,,oz,usda
usda_fdc_sr_legacy,172816,"pita, large (6-1/2"" dia)",1.0,60.0,,"pita, large (6-1/2"" dia)",usda
usda_fdc_sr_legacy,173424,"cup, chopped",1.0,136.0,,"cup, chopped",usda
usda_fdc_sr_legacy,173424,tbsp,1.0,8.5,,tbsp,usda
usda_fdc_sr_legacy,173424,large,1.0,50.0,,large,usda
usda_fdc_sr_legacy,173753,cup,1.0,170.0,,cup,usda
usda_fdc_sr_legacy,173944,"cup, mashed",1.0,225.0,,"cup, mashed",usda
usda_fdc_sr_legacy,173944,"cup, sliced",1.0,150.0,,"cup, sliced",usda
usda_fdc_sr_legacy,173944,"extra small (less than 6"" long)",1.0,81.0,,"extra small (less than 6"" long)",usda
usda_fdc_sr_legacy,173944,"small (6"" to 6-7/8"" long)",1.0,101.0,,"small (6"" to 6-7/8"" long)",usda
usda_fdc_sr_legacy,173944,"medium (7"" to 7-7/8"" long)",1.0,118.0,,"medium (7"" to 7-7/8"" long)",usda
usda_fdc_sr_legacy,173944,"large (8"" to 8-7/8"" long)",1.0,136.0,,"large (8"" to 8-7/8"" long)",usda
usda_fdc_sr_legacy,173944,"extra large (9"" or longer)",1.0,152.0,,"extra large (9"" or longer)",usda
usda_fdc_sr_legacy,173944,NLEA serving,1.0,126.0,,NLEA serving,usda
usda_fdc_sr_legacy,174370,oz,1.0,28.35,,oz,usda
usda_fdc_sr_legacy,174370,oz,4.0,113.0,,oz,usda
usda_fdc_sr_legacy,175202,cup,1.0,202.0,,cup,usda
usda_fdc_sr_legacy,175202,tbsp,1.0,12.6,,tbsp,usda
usda_fdc_sr_legacy,175203,cup,1.0,179.0,,cup,usda
usda_fdc_sr_legacy,175203,tbsp,1.0,11.2,,tbsp,usda
usda_fdc_sr_legacy,175205,cup,1.0,150.0,,cup,usda
usda_fdc_sr_legacy,175205,tbsp,1.0,9.4,,tbsp,usda
