data_source_code,external_ref,nutrient_code,amount_per_100g,unit,method,sample_count,min_amount,max_amount,notes
usda_fdc_sr_legacy,168463,vitamin_k_ug,493.6,ug,imported,0,,,BFSN: Based on another form of the food or similar food; Concentration adjustment; Solids; Retention factors not used
usda_fdc_sr_legacy,168463,water_g,91.21,g,imported,19,,,
usda_fdc_sr_legacy,168463,zinc_mg,0.76,mg,imported,16,,,
usda_fdc_sr_legacy,169097,ash_g,0.44,g,imported,70,,,
usda_fdc_sr_legacy,169097,calcium_mg,40.0,mg,imported,0,,,
usda_fdc_sr_legacy,169097,carbohydrate_g,11.75,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,169097,cholesterol_mg,0.0,mg,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,169097,energy_kcal,47.0,kcal,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,169097,energy_kj,197.0,kJ,imported,0,,,
usda_fdc_sr_legacy,169097,fat_g,0.12,g,imported,4,,,
usda_fdc_sr_legacy,169097,fat_mono_g,0.023,g,imported,0,,,
usda_fdc_sr_legacy,169097,fat_poly_g,0.025,g,imported,0,,,
usda_fdc_sr_legacy,169097,fat_sat_g,0.015,g,imported,0,,,
usda_fdc_sr_legacy,169097,fiber_g,2.4,g,imported,0,,,
usda_fdc_sr_legacy,169097,folate_ug,30.0,ug,imported,154,,,
usda_fdc_sr_legacy,169097,iron_mg,0.1,mg,imported,64,,,
usda_fdc_sr_legacy,169097,magnesium_mg,10.0,mg,imported,212,,,
usda_fdc_sr_legacy,169097,niacin_mg,0.282,mg,imported,145,,,
usda_fdc_sr_legacy,169097,phosphorus_mg,14.0,mg,imported,68,,,
usda_fdc_sr_legacy,169097,potassium_mg,181.0,mg,imported,180,,,
usda_fdc_sr_legacy,169097,protein_g,0.94,g,imported,69,,,
usda_fdc_sr_legacy,169097,riboflavin_mg,0.04,mg,imported,0,,,
usda_fdc_sr_legacy,169097,sodium_mg,0.0,mg,imported,72,,,
usda_fdc_sr_legacy,169097,sugars_g,9.35,g,imported,0,,,O: Other procedure used from imputing
usda_fdc_sr_legacy,169097,thiamin_mg,0.087,mg,imported,148,,,
usda_fdc_sr_legacy,169097,vitamin_a_rae_ug,11.0,ug,imported,0,,,
usda_fdc_sr_legacy,169097,vitamin_b12_ug,0.0,ug,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,169097,vitamin_b6_mg,0.06,mg,imported,100,,,
usda_fdc_sr_legacy,169097,vitamin_c_mg,53.2,mg,imported,145,,,
usda_fdc_sr_legacy,169097,vitamin_d_ug,0.0,ug,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,169097,vitamin_e_mg,0.18,mg,imported,4,0.14,0.25,A: Analytical
usda_fdc_sr_legacy,169097,vitamin_k_ug,0.0,ug,imported,10,0,0.1,A: Analytical
usda_fdc_sr_legacy,169097,water_g,86.75,g,imported,88,,,
usda_fdc_sr_legacy,169097,zinc_mg,0.07,mg,imported,3,,,
usda_fdc_sr_legacy,169228,ash_g,0.66,g,imported,7,0.45,1.1,JA: Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13
usda_fdc_sr_legacy,169228,calcium_mg,9.0,mg,imported,7,7,10,JA: Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13
usda_fdc_sr_legacy,169228,carbohydrate_g,5.88,g,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,169228,cholesterol_mg,0.0,mg,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,169228,energy_kcal,25.0,kcal,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,169228,energy_kj,104.0,kJ,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,169228,fat_g,0.18,g,imported,6,0.1,0.3,JA: Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13
usda_fdc_sr_legacy,169228,fat_mono_g,0.016,g,imported,0,,,
usda_fdc_sr_legacy,169228,fat_poly_g,0.076,g,imported,0,,,
usda_fdc_sr_legacy,169228,fat_sat_g,0.034,g,imported,0,,,
usda_fdc_sr_legacy,169228,fiber_g,3.0,g,imported,6,2.2,3.8,JA: Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13
usda_fdc_sr_legacy,169228,folate_ug,22.0,ug,imported,6,13,27,
usda_fdc_sr_legacy,169228,iron_mg,0.23,mg,imported,7,0.17,0.27,JA: Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13
usda_fdc_sr_legacy,169228,magnesium_mg,14.0,mg,imported,1,12,15,JA: Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13
usda_fdc_sr_legacy,169228,niacin_mg,0.649,mg,imported,6,0.55,0.803,
usda_fdc_sr_legacy,169228,phosphorus_mg,24.0,mg,imported,7,21,28,JA: Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13
usda_fdc_sr_legacy,169228,potassium_mg,229.0,mg,imported,7,201,259,JA: Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13
usda_fdc_sr_legacy,169228,protein_g,0.98,g,imported,7,0.82,1.1,"JO: Aggregated data involving combinations of data with different source codes when at least one code is not 1, 6, 12, or 13"
usda_fdc_sr_legacy,169228,riboflavin_mg,0.037,mg,imported,6,0.03,0.05,
usda_fdc_sr_legacy,169228,sodium_mg,2.0,mg,imported,7,1,3,JA: Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13
usda_fdc_sr_legacy,169228,sugars_g,3.53,g,imported,1,,,
usda_fdc_sr_legacy,169228,thiamin_mg,0.039,mg,imported,6,0.026,0.05,
usda_fdc_sr_legacy,169228,vitamin_a_rae_ug,1.0,ug,imported,0,,,NC: Calculated
usda_fdc_sr_legacy,169228,vitamin_b12_ug,0.0,ug,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,169228,vitamin_b6_mg,0.084,mg,imported,6,0.074,0.097,
usda_fdc_sr_legacy,169228,vitamin_c_mg,2.2,mg,imported,6,1.4,3.2,
usda_fdc_sr_legacy,169228,vitamin_d_ug,0.0,ug,imported,0,,,"Z: Assumed zero (Insignificant amount or not naturally occurring in a food, such as fiber in meat)"
usda_fdc_sr_legacy,169228,vitamin_e_mg,0.3,mg,imported,0,,,O: Other procedure used from imputing
usda_fdc_sr_legacy,169228,vitamin_k_ug,3.5,ug,imported,0,,,BFPN: Based on another form of the food or similar food; Concentration adjustment; Protein; Retention factors not used
usda_fdc_sr_legacy,169228,water_g,92.3,g,imported,1,90.8,93.5,JA: Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13
usda_fdc_sr_legacy,169228,zinc_mg,0.16,mg,imported,1,0.11,0.23,JA: Aggregated data involving combinations of data with only source codes 1 and 12 and/or 13
usda_fdc_sr_legacy,169229,ash_g,0.54,g,imported,2,,,
